日付,科目,摘要,収入金額,支出金額,差引残高
,,前年度より繰越,,,204015
2022/05/19,謝礼費,春号読者プレゼント,,3234,200781
2022/07/08,謝礼費,夏号読者アンケート,,500,200281
2022/07/20,印刷費,夏号印刷代,,18888,181393
2022/07/22,アクティブプラン,アクティブプラン,110000,,291393
2022/07/29,通信運搬費,バリュードメイン,,5280,286113
2022/10/06,謝礼費,夏号読者プレゼント,,1980,284133
2022/10/21,印刷費,秋号印刷代,,24100,260033
2022/11/02,取材費,ドメインキング,,1518,258515
2022/11/02,消耗品,マスキングテープ,,225,258290
2022/11/02,印刷費,おすすめ記事印刷,,484,257806
2022/11/03,印刷費,勧誘用チラシ印刷,,1650,256156
2022/11/11,謝礼費,芝浦祭来場者アンケート,,500,255656
2022/11/17,謝礼費,芝浦祭来場者アンケート,,500,255156
2022/11/17,謝礼費,芝浦祭来場者アンケート,,1000,254156
2022/12/28,印刷費,冬号印刷代,,20224,233932
2023/01/23,謝礼費,冬号読者アンケート,,1998,231934
2023/03/18,印刷費,アーカイブ印刷代,,27315,204619
2023/04/22,雑費,手数料,,660,203959
,,合計,110000,110056,203959
